Question,Average Cosine Similarity,Correct (>=0.85),GroundTruths,RetrievedResults,TopURLs,Source
What is Trava Finance?,0,False,"['TRAVA FINANCE is the world’s first decentralized marketplace for cross-chain lending. Different from existing approaches, we offer a flexible mechanism in which users can create and manage their own lending pools to start a lending business. ', 'Trava Finance is a DeFi protocol that aims to become an AI-driven Lending Station, that provides unique Lending services. ']",[],[],"['https://docs.trava.finance/portal', 'https://blog.trava.finance/trava-finance-in-2023-206167384f14']"
What does Trava offer?,0,False,['TRAVA offers a flexible mechanism in which users can create and manage their own lending pools to start a lending business. TRAVA also offers the credit score function based on financial data on-chain analysis as a useful tool that reduces risk and increases profits for all users. '],[],[],['https://docs.trava.finance/faq']
How to interconnect with Trava protocol?,0,False,"['In order to interconnect with Trava protocol, you need to deposit your asset into lending pools. After depositing, you will earn passive income, this income is based on the market borrowing demand. Additionally, you can also borrow by using your deposited assets as collateral.']",[],[],['https://docs.trava.finance/faq']
Do I need to pay fees to interconnect with Trava protocol?,0,False,"['Interacting with the protocol requires transactions and so transaction fees for BSC Blockchain usage, which depend on the network status and transaction complexity. ']",[],[],['https://docs.trava.finance/faq']
Does Trava have a Mobile App?,0,False,"['Be careful, we don’t provide any downloaded applications for mobile. Trava also never carries advertisements on any social media or search engine. Please stay away from those adverts if you see, it is a scam. In addition, Trava Protocol would not ask for your seed passphrase ever. ']",[],[],['https://docs.trava.finance/faq']
How to deposit on Trava?,0,False,"['Access to https://app.trava.finance Connect your wallet. Make sure that you are on the BSC network (If not, you will need to reconnect) Select the asset you that you want to deposit from the available options Select the deposit button on the left and input the amount of the asset you want to stake Approve the transaction in your wallet. ', 'Step 1. Open https://app.trava.finance/pools Step 2. Connect your wallet and select the network that you want. Step 3. Click an asset that you want to deposit  Step 4. Click “Deposit”  Step 5. After that, your wallet notification will appear as below: Enter the number of assets that you want to deposit in the box “Amount” Make sure you check all the current and updated information. Then click “Confirm”.  Step 6. Waiting for the deposit processing: confirmation => executing transaction => Transaction succeeded.    Notes: Click “See transaction detail” to review your transaction.']",[],[],"['https://docs.trava.finance/faq/staking-depositing-and-earning', 'https://docs.trava.finance/user-guide/lending-pool-user-guide']"
How much is Trava token allocation?,0,False,"['Token Allocation Total Supply — Capped at 5,000,000,000 TRAVA We distribute tokenomics with a long-term vision and sustainability for the project. As a DEFI community lending solution, Trava reverses the most tokens (40%) for Liquidity Mining. Trava believes that Marketing is one of the important criteria for business development. The tokenomics for it will be used to help expand Trava’s awareness, position our products and services, and boost customer acquisition. The foundation & team play an important role in Trava.Finance’s long-term and sustainable development plan. They will support the company’s operations, future partnerships and other corporate business requirements. The remaining components are distributed with the goal of ensuring fairness to investors, enhancing the attractiveness of the project, and developing successful products. Liquidity Mining — 40.0%, Marketing — 22.0%, Foundation — 20%, Listing — 2.0%, Team — 10%, Advisors — 6.0%. ', 'Token Allocation Total Supply — Capped at 5,000,000,000 TRAVA We distribute tokenomics with a long-term vision and sustainability for the project. As a DEFI community lending solution, Trava reverses the most tokens (40%) for Liquidity Mining. Trava believes that Marketing is one of the important criteria for business development. The tokenomics for it will be used to help expand Trava’s awareness, position our products and services, and boost customer acquisition. The foundation & team play an important role in Trava.Finance’s long-term and sustainable development plan. They will support the company’s operations, future partnerships and other corporate business requirements. The remaining components are distributed with the goal of ensuring fairness to investors, enhancing the attractiveness of the project, and developing successful products. Liquidity Mining — 40.0%, Marketing — 22.0%, Foundation — 20%, Listing — 2.0%, Team — 10%, Advisors — 6.0%. ']",[],[],"['https://blog.trava.finance/trava-tokenomics-for-a-strategic-vision-a8098eaac5af', 'https://docs.trava.finance/whitepaper/tokenomics']"
Is there a limited amount to deposit/stake?,0,False,"['There is no limitation for minimum or maximum amount, you can deposit any amount you want. But we mention that you should consider when depositing a very small amount. Because for a really small amount, the transaction costs of the depositing process can be higher than your expected earnings.']",[],[],['https://docs.trava.finance/faq/staking-depositing-and-earning']
What is the maximum amount can I borrow?,0,False,"['The maximum amount you can borrow depends on your deposited value and the available liquidity. Please notice the health factor and liquidation threshold indicators to guarantee your collaterals are in the state of safety. Besides, you can not borrow if there is not enough liquidity or if your health factor is too low.']",[],[],['https://docs.trava.finance/faq/borrowing']
What type of asset do I repay my loans?,0,False,"['When repaying a loan, the type of asset that you need to repay is in the same asset you borrowed. For example, if you borrow 1 BNB you will pay back 1 BNB plus interest accrued. Another way to pay back the loan is using your collateral. If you want to pay back the loan based on USD price you can borrow any of the available stable coins as USDC, DAI, USDT, etc.']",[],[],['https://docs.trava.finance/faq/borrowing']
How can I borrow on Trava?,0,False,"['In order to borrow, you need to deposit any asset to be used as collateral first (check out the Depositing & Earning FAQ section for more info). After depositing, you simply go to the “Borrow” section and click the “Borrow” button on the asset you want to borrow. Input the amount and approve the transaction. The borrowed amount is based on the available deposits that you used as collateral. ', 'Borrow an asset in a pool Step 1. Open https://app.trava.finance/pools Step 2. Connect your wallet and select the network that you want. Step 3. Click an asset that you want to borrow  Step 4. Click “Borrow”  Step 5. After that, your wallet notification will appear as below: Enter the number of assets that you want to borrow in the box “Amount” Make sure you check all the current and updated information. Then click  “Borrow”  Step 6. Waiting for the deposit processing: Confirmation => executing transaction => Transaction succeeded.    Notes: Click “See transaction detail” to review your transaction.']",[],[],"['https://docs.trava.finance/faq/borrowing', 'https://docs.trava.finance/user-guide/lending-pool-user-guide']"
How much interest would I pay for my loans?,0,False,"['When borrowing, the interest rate you need to pay depends on the borrowing rate which is determined from the supply and demand ratio of the asset. Moreover, the interest rate is a variable rate so that it changes constantly. The current borrowing rate of your borrowed assets is shown in the Borrowing section of your dashboard, you can check it any time.']",[],[],['https://docs.trava.finance/faq/borrowing']
How can I withdraw on Trava?,0,False,"['To withdraw you just need to Click the “Withdraw” button on the vault in the dashboard. Select the amount to withdraw and submit the transaction. ', 'Step 1. Open https://app.trava.finance/pools Step 2. Connect your wallet and select the network that you want. Step 3. Click an asset that you want to withdraw  Step 4. Click “Withdraw”  Step 5. After that, your wallet notification will appear as below: Enter the number of assets that you want to withdraw in the box “Amount” Make sure you check all the current and updated information. Then click “Withdraw”  Step 6. Waiting for the deposit processing: Confirmation => executing transaction => Transaction succeeded.    Notes: Click “See transaction detail” to review your transaction.']",[],[],"['https://docs.trava.finance/faq/staking-depositing-and-earning', 'https://docs.trava.finance/user-guide/lending-pool-user-guide']"
How can I repay the loan on Trava?,0,False,"['In order to pay back the loan you go to the Borrowings section of your dashboard and click on the repay button for the asset you borrowed and want to repay. Select the amount to pay back and approve the transaction. ', 'Step 1. Open https://app.trava.finance/pools Step 2. Connect your wallet and select the network that you want. Step 3. Click an asset that you want to repay  Step 4. Click “Repay”  Step 5. After that, your wallet notification will appear as below: Enter the number of assets that you want to repay in the box “Amount” Make sure you check all the current and updated information. Then click “Repay”   Step 6. Waiting for the deposit processing: Confirmation => executing transaction => Transaction succeeded.    Notes: Click “See transaction detail” to review your transaction.']",[],[],"['https://docs.trava.finance/faq/borrowing', 'https://docs.trava.finance/user-guide/lending-pool-user-guide']"
What is Trava pool creation?,0,False,"['pool creation is a unique feature that allows users to create their pools instead of being borrowers or lenders of Trava Lending Pool.', 'Trava Pool Creation is one of the keystones for reaching the long-term goal of Trava Finance — building the Trava Decentralized Marketplace. With its implementation, we allow users to play the new role as pool owners, who can create and manage their pools instead of being limited in responsibility as borrowers and lenders in normal lending services.   Trava Pool Creation, which allows small businesses and individuals to add less-dominant assets to earn instead of solely focusing on the top tokens.']",[],[],"['https://blog.trava.finance/introduction-to-trava-pool-creation-8dd7e9523b8', 'https://blog.trava.finance/ama-recap-all-about-pool-creation-bceec4b8f9']"
What are Trava Multi-pool Ecosystem components?,0,False,"[' In the Trava Multi-pool Ecosystem, there are three main components: - Pool Owners: Who create and manage their own lending pools. - Users: who use lending services (of Trava lending pool and user-owned lending pools) such as borrowing, depositing, etc. - Trava Governance: Who plays the significant roles in the decision-making process while running the ecosystem.']",[],[],['https://docs.trava.finance/user-guide/trava-pool-creation-user-guide']
How to avoid being liquidated?,0,False,"['In order to avoid collateral liquidation, you need to maintain your health factor at a safe level. To increase health factor, you can pay back a part of your loans or deposit more assets for your borrowing amount. Among two available options, repaying the loan would increase your health factor more. We mention you should keep your health factor over 2. ']",[],[],['https://docs.trava.finance/faq/liquidations']
What are key functionalities in Trava Lending Pool?,0,False,"['Key Functionalities of Trava Lending Pool Deposit: Users can deposit their assets to Trava Pool to earn APY. This APY depends on the deposit/borrowing demand in the pool. Borrow: When users want to use a type of asset (which they do not possess in their wallet) to do business without selling their holding assets, they can deposit these available assets as collateral to borrow favorable assets. By this way, they can still do business on any assets they want without losing their holding assets. Withdraw: After depositing, users can withdraw their cryptocurrencies anytime they want. However, as the deposit’s interest accrues over time, so the longer the deposit period, the bigger the interest they will earn. Repay: When borrowing, users can pay back all or part of their loans. Users should adequately manage their repaying to avoid being liquidated collateral.']",[],[],['https://blog.trava.finance/official-launch-of-trava-lending-pool-and-liquidity-mining-program-a9b3e65cb2e5']
What are the types of assets do Trava Lending Pool support?,0,False,"['List of tokens supported by TRAVA  DAI USDC USDT WETH WBNB BTCB BUSD  CAKE  XRP', 'Accepting Assets The first version of Trava lending pool supports seven types of assets in the pool, including: USDT USDC DAI BUSD WBTC WETH BNB In addition, other tokens will be supported later.']",[],[],"['https://docs.trava.finance/user-guide/lending-pool-user-guide', 'https://blog.trava.finance/official-launch-of-trava-lending-pool-and-liquidity-mining-program-a9b3e65cb2e5']"
Where can I see my credit score?,0,False,"['Go to https://scoring.trava.finance/credit-score/orai and connect your wallet, you will see your credit score right on the screen.']",[],[],['https://docs.trava.finance/faq/trava-credit-score']
